Number	Name
^1	Budgetary
^11	Expenditures
A	Statutory expenditures
A1	Standard
A11	Operating budget related items
A111	Minister's salary and motor car allowance (including Prime Minister and secretaries of state)
A112	Other statutory salaries and allowances
A12	Special statutory items
A121	Court awards-Crown Liability and Proceedings Act
A122	Refunds of previous years revenue
A123	Collection agency fees under section 17.1 of the Financial Administration Act
A124	Court awards-Supreme Court
A125	Court awards-Tax Court of Canada
A126	Losses on foreign exchange
A127	Payment pursuant to section 24(1) of the Financial Administration Act
A13	Restricted spending authorities
A130	Spending of revenues pursuant to section 30 of the Canadian Food Inspection Agency Act
A131	Spending of amounts equivalent to proceeds from disposal of surplus moveable Crown assets
A132	Expenditures pursuant to paragraph 29.1 of Financial Administration Act (for departmental corporations)
A133	Expenditures equivalent to revenue resulting from the conduct of operations pursuant to section 20 of the Parks Canada Agency Act
A134	Spending of revenue received pursuant to section 60 of the Canada Revenue Agency Act
A135	Spending pursuant to section 5 of the National Research Council Act
A136	Expenditures pursuant to section 29 of the Financial Administration Act for payments pursuant to guaranties under the Spring Credit Advance Program
A137	Expenditures pursuant to section 29 of the Financial Administration Act in respect to guarantees entered into by Farm Credit Canada for the National Bio Ethanol Program
A138	Spending of revenues pursuant to section 18(2)of the Canada School of Public Service Act
A139	Spending pursuant to section 12(4) of the Canada Education Savings Act
A161	Spending of revenues pursuant to section 4.2 of the Department of Health Act
A162	Spending of revenues pursuant to section 21(3) of the Nuclear Safety and Control Act
A163	Spending of revenues pursuant to section 60.1 of Department of Employment and Social Development (ESDC) Act
A164	Spending of revenues pursuant to paragraph 4(2)(a) of Social Sciences and Humanities Research Council Act
A165	Spending of revenues pursuant to paragraph 4(2)(a) of Natural Sciences and Engineering Research Council Act
A166	Spending of revenues pursuant to section 6(1)(g) of the Canadian Centre of Occupational Health and Safety Act
A14	Contribution to employee benefit plans
A145	Contributions to employee benefit plans-Treasury Board residual
A146	Contributions to employee benefit plans-Members of the military
A149	Contributions to employee benefit plans-Reorganisation
A14A	Contributions to employee benefit plans-Program
A15	Other
A153	Transfer payments in connection with the Budget Implementation Act
A2	Transfer payments
A20	Agriculture-Payments in connection with the Farm Income Protection Act
A201	Crop insurance programs
A203	Net Income Stabilization Account
A206	Contributions to a transition to future risk management programming
A209	Grants and contributions for the AgriInvest Kickstart Program
A210	Grants and contribution payments for the AgriInvest Program
A213	Payments in connection with the Agriculture Marketing Programs Act
A214	Grants for the Transitional Industry Support Program
A215	Bovine Spongiform Encephalopathy (BSE) Recovery Program
A216	Business risk management (BRM) programs
A217	Farm Income Protection Act-Province-based programs
A218	Contributions for the Transitional Industry Support Program
A219	Contributions for the Canadian Farm Income Program
A220	Payments in connection with the Farm Income Protection Act-Quebec gross revenue insurance conditional remission order
A221	Class contribution payments for repositioning of the Canadian beef and cattle industry
A225	Contributions in support of the Farm Income payment
A226	Grants in support of the Farm Income payment
A229	Contributions in support of business risk management programs under the Agricultural Policy Framework-Production insurance
A230	Grants in support of the Canadian Agriculture Income Stabilization (CAIS) Inventory Transition Initiative
